item_name,item,section,item_label
StartDate,Start Date,Start Date,Start Date
EndDate,End Date,End Date,End Date
Status,Response Type,Response Type,Response Type
IPAddress,IP Address,IP Address,IP Address
Progress,Progress,Progress,Progress
Duration (in seconds),Duration (in seconds),Duration (in seconds),Duration (in seconds)
Finished,Finished,Finished,Finished
RecordedDate,Recorded Date,Recorded Date,Recorded Date
ResponseId,Response ID,Response ID,Response ID
RecipientLastName,Recipient Last Name,Recipient Last Name,Recipient Last Name
RecipientFirstName,Recipient First Name,Recipient First Name,Recipient First Name
RecipientEmail,Recipient Email,Recipient Email,Recipient Email
ExternalReference,External Data Reference,External Data Reference,External Data Reference
LocationLatitude,Location Latitude,Location Latitude,Location Latitude
LocationLongitude,Location Longitude,Location Longitude,Location Longitude
DistributionChannel,Distribution Channel,Distribution Channel,Distribution Channel
UserLanguage,User Language,User Language,User Language
Q1,Are you 18 years old or older?,Are you 18 years old or older?,Are you 18 years old or older?
Q2,Please identify the institution at which you are a student.,Please identify the institution at which you are a student.,Please identify the institution at which you are a student.
Q4_1,Methadone,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction).,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction). - Methadone
Q4_2,"Oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail)",Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction).,"Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction). - Oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail)"
Q4_3,Extended-release naltrexone (e.g. Vivitrol),Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction).,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction). - Extended-release naltrexone (e.g. Vivitrol)
Q4_4,"Peer support groups (e.g. Alcoholics Anonymous, Narcotics Anonymous)",Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction).,"Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction). - Peer support groups (e.g. Alcoholics Anonymous, Narcotics Anonymous)"
Q4_5,Individual counseling,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction).,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction). - Individual counseling
Q4_6,Group counseling,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction).,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction). - Group counseling
Q4_7,Outpatient treatment (e.g. at a clinic),Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction).,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction). - Outpatient treatment (e.g. at a clinic)
Q4_8,Residential treatment (e.g. at a rehab center),Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction).,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction). - Residential treatment (e.g. at a rehab center)
Q4_9,Inpatient treatment (e.g. at a hospital),Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction).,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction). - Inpatient treatment (e.g. at a hospital)
Q5,Please mark any treatments that you or someone you are close to has participated in for opioid use disorder (i.e. opioid addiction). Mark all that apply.,Please mark any treatments that you or someone you are close to has participated in for opioid use disorder (i.e. opioid addiction). Mark all that apply.,Please mark any treatments that you or someone you are close to has participated in for opioid use disorder (i.e. opioid addiction). Mark all that apply.
Q6_1,Methadone,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids.,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids. - Methadone
Q6_2,"Oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail)",Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids.,"Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids. - Oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail)"
Q6_3,Extended-release naltrexone (e.g. Vivitrol),Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids.,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids. - Extended-release naltrexone (e.g. Vivitrol)
Q6_4,"Peer support groups (e.g. Alcoholics Anonymous, Narcotics Anonymous)",Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids.,"Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids. - Peer support groups (e.g. Alcoholics Anonymous, Narcotics Anonymous)"
Q6_5,Individual counseling,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids.,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids. - Individual counseling
Q6_6,Group counseling,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids.,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids. - Group counseling
Q6_7,Outpatient treatment (e.g. at a clinic),Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids.,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids. - Outpatient treatment (e.g. at a clinic)
Q6_8,Residential treatment (e.g. at a rehab center),Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids.,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids. - Residential treatment (e.g. at a rehab center)
Q6_9,Inpatient treatment (e.g. at a hospital),Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids.,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids. - Inpatient treatment (e.g. at a hospital)
Q7_1,Treatment with methadone is replacing one addiction with another,Please mark the extent to which you agree with the following statements about methadone.,Please mark the extent to which you agree with the following statements about methadone. - Treatment with methadone is replacing one addiction with another
Q7_2,Treatment with methadone is safe,Please mark the extent to which you agree with the following statements about methadone.,Please mark the extent to which you agree with the following statements about methadone. - Treatment with methadone is safe
Q7_3,Methadone has dangerous side effects,Please mark the extent to which you agree with the following statements about methadone.,Please mark the extent to which you agree with the following statements about methadone. - Methadone has dangerous side effects
Q7_4,People in methadone treatment are not actually in recovery,Please mark the extent to which you agree with the following statements about methadone.,Please mark the extent to which you agree with the following statements about methadone. - People in methadone treatment are not actually in recovery
Q7_5,Treatment with methadone is bad for you physically,Please mark the extent to which you agree with the following statements about methadone.,Please mark the extent to which you agree with the following statements about methadone. - Treatment with methadone is bad for you physically
Q7_6,Most people in methadone treatment use it to “get high”,Please mark the extent to which you agree with the following statements about methadone.,Please mark the extent to which you agree with the following statements about methadone. - Most people in methadone treatment use it to “get high”
Q7_7,Methadone helps prevent cravings for opioids,Please mark the extent to which you agree with the following statements about methadone.,Please mark the extent to which you agree with the following statements about methadone. - Methadone helps prevent cravings for opioids
Q7_8,Methadone helps prevent individuals from getting high,Please mark the extent to which you agree with the following statements about methadone.,Please mark the extent to which you agree with the following statements about methadone. - Methadone helps prevent individuals from getting high
Q8_1,Treatment with oral buprenorphine is replacing one addiction with another,"Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail).","Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail). - Treatment with oral buprenorphine is replacing one addiction with another"
Q8_2,Treatment with oral buprenorphine  is safe,"Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail).","Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail). - Treatment with oral buprenorphine  is safe"
Q8_3,Oral buprenorphine  has dangerous side effects,"Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail).","Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail). - Oral buprenorphine  has dangerous side effects"
Q8_4,People in oral buprenorphine  treatment are not actually in recovery,"Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail).","Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail). - People in oral buprenorphine  treatment are not actually in recovery"
Q8_5,Treatment with oral buprenorphine  is bad for you physically,"Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail).","Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail). - Treatment with oral buprenorphine  is bad for you physically"
